"Date","Open"
"2015-10-22","57.07"
"2015-10-23","57.77"
"2015-10-26","57"
"2015-10-27","54.799999"
"2015-10-28","54.02"
"2015-10-29","51.869999"
"2015-10-30","51.560001"
"2015-11-02","50.860001"
"2015-11-03","53.09"
"2015-11-04","52.959999"
"2015-11-05","53.450001"
"2015-11-06","52.200001"
"2015-11-09","52.82"
"2015-11-10","53.700001"
"2015-11-11","54"
"2015-11-12","54.330002"
"2015-11-13","53.950001"
"2015-11-16","51.950001"
"2015-11-17","50.279999"
"2015-11-18","49.389999"
"2015-11-19","47.459999"
"2015-11-20","47.869999"
"2015-11-23","48.099998"
"2015-11-24","46"
"2015-11-25","46.5"
"2015-11-27","45.59"
"2015-11-30","46.299999"
"2015-12-01","46.5"
"2015-12-02","47.880001"
"2015-12-03","47.439999"
"2015-12-04","47.34"
"2015-12-07","48.650002"
"2015-12-08","48.490002"
"2015-12-09","47.439999"
"2015-12-10","48.07"
"2015-12-11","48.009998"
"2015-12-14","48.049999"
"2015-12-15","46.93"
"2015-12-16","48.32"
"2015-12-17","48.650002"
"2015-12-18","46.959999"
"2015-12-21","46.25"
"2015-12-22","47.48"
"2015-12-23","47.040001"
"2015-12-24","46.619999"
"2015-12-28","47.290001"
"2015-12-29","46.84"
"2015-12-30","47.93"
"2015-12-31","48.259998"
"2016-01-04","47.290001"
"2016-01-05","48.599998"
"2016-01-06","47.75"
"2016-01-07","46.419998"
"2016-01-08","46.599998"
"2016-01-11","43.200001"
"2016-01-12","43.950001"
"2016-01-13","43.43"
"2016-01-14","42.470001"
"2016-01-15","40.470001"
"2016-01-19","40.689999"
"2016-01-20","40.98"
"2016-01-21","40.279999"
"2016-01-22","41.209999"
"2016-01-25","41.470001"
"2016-01-26","40.279999"
"2016-01-27","41.310001"
"2016-01-28","40.82"
"2016-01-29","39.48"
"2016-02-01","38.919998"
"2016-02-02","39.84"
"2016-02-03","37.240002"
"2016-02-04","36.25"
"2016-02-05","38.73"
"2016-02-08","37.040001"
"2016-02-09","34.439999"
"2016-02-10","35.029999"
"2016-02-11","32.290001"
"2016-02-12","32.34"
"2016-02-16","34.619999"
"2016-02-17","36.380001"
"2016-02-18","38.759998"
"2016-02-19","37.900002"
"2016-02-22","39.419998"
"2016-02-23","39.25"
"2016-02-24","37.259998"
"2016-02-25","38.209999"
"2016-02-26","38.77"
"2016-02-29","38.490002"
"2016-03-01","38.779999"
"2016-03-02","39.07"
"2016-03-03","39.099998"
